id,name,supertype,subtypes,rules,set,number,artist,rarity,legalities,images,tcgplayer,cardmarket,types,regulationMark
dp5-96,Recover Energy,Energy,['Special'],"['Recover Energy provides Colorless Energy. When you attach this card from your hand to 1 of your Pokémon, remove all Special Conditions from that Pokémon.']","{'id': 'dp5', 'name': 'Majestic Dawn', 'series': 'Diamond & Pearl', 'printedTotal': 100, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'MD', 'releaseDate': '2008/05/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp5/symbol.png', 'logo': 'https://images.pokemontcg.io/dp5/logo.png'}}",96,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp5/96.png', 'large': 'https://images.pokemontcg.io/dp5/96_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp5-96', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.2, 'mid': 0.48, 'high': 2.97, 'market': 0.49, 'directLow': 0.75}, 'reverseHolofoil': {'low': 0.41, 'mid': 1.43, 'high': 2.54, 'market': 0.41, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp5-96', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.15, 'lowPrice': 0.04, 'trendPrice': 0.15, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.7, 'reverseHoloLow': 0.25, 'reverseHoloTrend': 1.1, 'lowPriceExPlus': 0.14, 'avg1': 0.2, 'avg7': 0.2, 'avg30': 0.33, 'reverseHoloAvg1': 0.4, 'reverseHoloAvg7': 1.54, 'reverseHoloAvg30': 0.84}}",,
ecard2-142,Darkness Energy,Energy,['Special'],"[""If the Pokémon Darkness Energy is attached to damages the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon. At the end of every turn, put 1 damage counter on the Pokémon Darkness Energy is attached to, unless it's Darkness or has Dark in its name. Darkness Energy provides Darkness Energy. (Doesn't count as a basic Energy card.)""]","{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 147, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",142,Milky Isobe,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard2/142.png', 'large': 'https://images.pokemontcg.io/ecard2/142_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-142', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 3.4, 'mid': 4.0, 'high': 9.49, 'market': 3.58, 'directLow': None}, 'reverseHolofoil': {'low': 6.18, 'mid': 8.0, 'high': 9.98, 'market': 8.6, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard2-142', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.47, 'lowPrice': 0.49, 'trendPrice': 2.2, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 1.73, 'reverseHoloLow': 0.49, 'reverseHoloTrend': 2.52, 'lowPriceExPlus': 1.0, 'avg1': 2.75, 'avg7': 2.01, 'avg30': 1.99, 'reverseHoloAvg1': 1.94, 'reverseHoloAvg7': 2.27, 'reverseHoloAvg30': 2.56}}",,
ecard2-143,Metal Energy,Energy,['Special'],"[""Damage done to the Pokémon Metal Energy is attached to is reduced by 10 (after applying Weakness and Resistance). If the Pokémon Metal Energy is attached to isn't Metal, whenever it damages a Pokémon, reduce that damage by 10 (before applying Weakness and Resistance). Metal Energy provides Metal Energy. (Doesn't count as a basic Energy card.)""]","{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 147, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",143,Milky Isobe,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard2/143.png', 'large': 'https://images.pokemontcg.io/ecard2/143_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-143', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 3.99, 'mid': 5.9, 'high': 12.6, 'market': 5.36, 'directLow': None}, 'reverseHolofoil': {'low': 6.15, 'mid': 12.99, 'high': 25.0, 'market': 7.24, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard2-143', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.66, 'lowPrice': 0.05, 'trendPrice': 2.25, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.69, 'reverseHoloTrend': 2.84, 'lowPriceExPlus': 1.5, 'avg1': 1.5, 'avg7': 1.59, 'avg30': 1.77, 'reverseHoloAvg1': 2.95, 'reverseHoloAvg7': 1.63, 'reverseHoloAvg30': 2.57}}",,
ecard2-147,Warp Energy,Energy,['Special'],"['Warp Energy provides 1 Colorless Energy. When you attach Warp Energy from your hand to your Active Pokémon, switch your Active Pokémon with 1 of your Benched Pokémon.']","{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 147, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",147,Shin-ichi Yoshikawa,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/ecard2/147.png', 'large': 'https://images.pokemontcg.io/ecard2/147_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-147', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 3.42, 'mid': 5.24, 'high': 9.97, 'market': 4.63, 'directLow': None}, 'reverseHolofoil': {'low': 13.46, 'mid': 19.39, 'high': 29.99, 'market': 12.67, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard2-147', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.92, 'lowPrice': 0.3, 'trendPrice': 1.38, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.9, 'reverseHoloTrend': 2.37, 'lowPriceExPlus': 0.55, 'avg1': 1.75, 'avg7': 0.98, 'avg30': 1.22, 'reverseHoloAvg1': 1.49, 'reverseHoloAvg7': 2.46, 'reverseHoloAvg30': 2.02}}",,
ecard3-142,Bounce Energy,Energy,['Special'],"['This card provides ColorlessColorless Energy. You can attach this card to your Pokémon that has basic Energy cards attached to it. When you play this card from your hand and attach it to 1 of your Pokémon, return a basic Energy card attached to that Pokémon to your hand.']","{'id': 'ecard3', 'name': 'Skyridge', 'series': 'E-Card', 'printedTotal': 144, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SK', 'releaseDate': '2003/05/12', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard3/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard3/logo.png'}}",142,Shin-ichi Yoshikawa,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard3/142.png', 'large': 'https://images.pokemontcg.io/ecard3/142_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard3-142', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 2.2, 'mid': 3.18, 'high': 10.9, 'market': 3.14, 'directLow': None}, 'reverseHolofoil': {'low': 15.3, 'mid': 21.9, 'high': 28.09, 'market': 15.0, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard3-142', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.39, 'lowPrice': 0.19, 'trendPrice': 1.35, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 6.99, 'reverseHoloLow': 0.35, 'reverseHoloTrend': 5.92, 'lowPriceExPlus': 0.79, 'avg1': 0.34, 'avg7': 1.14, 'avg30': 1.36, 'reverseHoloAvg1': 6.99, 'reverseHoloAvg7': 6.75, 'reverseHoloAvg30': 5.59}}",,
ecard3-143,Cyclone Energy,Energy,['Special'],"['This card provides Colorless Energy. When you play this card from your hand and attach it to your Active Pokémon, your opponent switches his or her Active Pokémon with 1 of his or her Benched Pokémon.']","{'id': 'ecard3', 'name': 'Skyridge', 'series': 'E-Card', 'printedTotal': 144, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SK', 'releaseDate': '2003/05/12', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard3/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard3/logo.png'}}",143,Shin-ichi Yoshikawa,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard3/143.png', 'large': 'https://images.pokemontcg.io/ecard3/143_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard3-143', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 2.09, 'mid': 4.71, 'high': 7.99, 'market': 3.64, 'directLow': 5.47}, 'reverseHolofoil': {'low': 24.0, 'mid': 28.78, 'high': 49.99, 'market': 29.81, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard3-143', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.23, 'lowPrice': 0.2, 'trendPrice': 1.29, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 3.7, 'reverseHoloTrend': 9.52, 'lowPriceExPlus': 0.45, 'avg1': 1.52, 'avg7': 1.19, 'avg30': 1.33, 'reverseHoloAvg1': 24.5, 'reverseHoloAvg7': 9.35, 'reverseHoloAvg30': 7.21}}",,
ecard3-144,Retro Energy,Energy,['Special'],"['This card provides Colorless Energy. When you play this card from your hand and attach it to 1 of your Evolved Pokémon, you may remove up to 2 damage counters from that Pokémon and discard the top card from it. (This counts as devolving it.)']","{'id': 'ecard3', 'name': 'Skyridge', 'series': 'E-Card', 'printedTotal': 144, 'total': 182, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SK', 'releaseDate': '2003/05/12', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard3/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard3/logo.png'}}",144,Shin-ichi Yoshikawa,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard3/144.png', 'large': 'https://images.pokemontcg.io/ecard3/144_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard3-144', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 2.75, 'mid': 4.0, 'high': 15.0, 'market': 4.0, 'directLow': 3.97}, 'reverseHolofoil': {'low': 18.0, 'mid': 20.58, 'high': 29.25, 'market': None, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ecard3-144', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.6, 'lowPrice': 0.29, 'trendPrice': 1.73, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 1.9, 'reverseHoloTrend': 4.66, 'lowPriceExPlus': 1.0, 'avg1': 1.29, 'avg7': 1.56, 'avg30': 2.14, 'reverseHoloAvg1': 8.5, 'reverseHoloAvg7': 5.82, 'reverseHoloAvg30': 6.67}}",,
ex11-104,Holon Energy FF,Energy,['Special'],"['Holon Energy FF provides Colorless Energy.', ""If the Pokémon that Holon Energy FF is attached to also has a basic Fire Energy card attached to it, that Pokémon has no Weakness. If the Pokémon that Holon Energy FF is attached to also has a basic Fighting Energy card attached to it, damage done by that Pokémon's attack isn't affected by Resistance. Ignore these effects if Holon Energy FF is attached to Pokémon-ex.""]","{'id': 'ex11', 'name': 'Delta Species', 'series': 'EX', 'printedTotal': 113, 'total': 114, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DS', 'releaseDate': '2005/10/31', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex11/symbol.png', 'logo': 'https://images.pokemontcg.io/ex11/logo.png'}}",104,Takumi Akabane,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex11/104.png', 'large': 'https://images.pokemontcg.io/ex11/104_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex11-104', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.99, 'mid': 1.68, 'high': 6.24, 'market': 0.99, 'directLow': None}, 'reverseHolofoil': {'low': 3.07, 'mid': 4.1, 'high': 6.55, 'market': 5.0, 'directLow': 3.98}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex11-104', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.45, 'lowPrice': 0.29, 'trendPrice': 1.61, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 1.95, 'reverseHoloLow': 0.7, 'reverseHoloTrend': 5.33, 'lowPriceExPlus': 0.6, 'avg1': 0.95, 'avg7': 1.28, 'avg30': 1.26, 'reverseHoloAvg1': 1.95, 'reverseHoloAvg7': 2.27, 'reverseHoloAvg30': 5.28}}",,
ex11-105,Holon Energy GL,Energy,['Special'],"['Holon Energy GL provides Colorless Energy.', ""If the Pokémon that Holon Energy GL is attached to also has a basic Grass Energy card attached to it, that Pokémon can't be affected by any Special Conditions. If the Pokémon that Holon Energy GL is attached to also has a basic Lightning Energy card attached to it, damage done by your opponent's Pokémon-ex is reduced by 10. Ignore these effects if Holon Energy GL is attached to Pokémon-ex.""]","{'id': 'ex11', 'name': 'Delta Species', 'series': 'EX', 'printedTotal': 113, 'total': 114, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DS', 'releaseDate': '2005/10/31', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex11/symbol.png', 'logo': 'https://images.pokemontcg.io/ex11/logo.png'}}",105,Takumi Akabane,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex11/105.png', 'large': 'https://images.pokemontcg.io/ex11/105_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex11-105', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.5, 'mid': 1.97, 'high': 5.59, 'market': 2.52, 'directLow': 1.32}, 'reverseHolofoil': {'low': 3.49, 'mid': 4.05, 'high': 7.92, 'market': 2.48, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex11-105', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.71, 'lowPrice': 0.29, 'trendPrice': 1.28, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 1.0, 'reverseHoloTrend': 5.1, 'lowPriceExPlus': 0.49, 'avg1': 0.75, 'avg7': 0.59, 'avg30': 1.47, 'reverseHoloAvg1': 4.25, 'reverseHoloAvg7': 3.17, 'reverseHoloAvg30': 4.1}}",,
ex11-106,Holon Energy WP,Energy,['Special'],"['Holon Energy WP provides Colorless Energy.', ""If the Pokémon that Holon Energy WP is attached to also has a basic Water Energy card attached to it, prevent all effects, excluding damage, done to that Pokémon by your opponent's Pokémon. If the Pokémon that Holon Energy WP is attached to also has a basic Psychic Energy card attached to it, that Pokémon's Retreat Cost is 0. Ignore these effects if Holon Energy WP is attached to Pokémon-ex.""]","{'id': 'ex11', 'name': 'Delta Species', 'series': 'EX', 'printedTotal': 113, 'total': 114, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DS', 'releaseDate': '2005/10/31', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex11/symbol.png', 'logo': 'https://images.pokemontcg.io/ex11/logo.png'}}",106,Takumi Akabane,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex11/106.png', 'large': 'https://images.pokemontcg.io/ex11/106_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex11-106', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.99, 'mid': 1.87, 'high': 5.0, 'market': 1.87, 'directLow': 1.53}, 'reverseHolofoil': {'low': 3.0, 'mid': 5.26, 'high': 52.69, 'market': 3.31, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex11-106', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.76, 'lowPrice': 0.19, 'trendPrice': 0.82, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 4.5, 'reverseHoloLow': 1.95, 'reverseHoloTrend': 3.35, 'lowPriceExPlus': 0.8, 'avg1': 0.75, 'avg7': 0.73, 'avg30': 0.85, 'reverseHoloAvg1': 4.5, 'reverseHoloAvg7': 3.33, 'reverseHoloAvg30': 3.57}}",,
ex12-82,React Energy,Energy,['Special'],['React Energy provides Colorless Energy.'],"{'id': 'ex12', 'name': 'Legend Maker', 'series': 'EX', 'printedTotal': 92, 'total': 93, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LM', 'releaseDate': '2006/02/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}}",82,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex12/82.png', 'large': 'https://images.pokemontcg.io/ex12/82_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex12-82', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.21, 'mid': 0.5, 'high': 1.76, 'market': 0.45, 'directLow': None}, 'reverseHolofoil': {'low': 1.65, 'mid': 2.53, 'high': 7.49, 'market': 2.29, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex12-82', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.18, 'lowPrice': 0.02, 'trendPrice': 0.18, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.8, 'reverseHoloTrend': 2.97, 'lowPriceExPlus': 0.04, 'avg1': 0.25, 'avg7': 0.19, 'avg30': 0.23, 'reverseHoloAvg1': 3.37, 'reverseHoloAvg7': 2.73, 'reverseHoloAvg30': 2.54}}",,
ex13-98,δ Rainbow Energy,Energy,['Special'],"['δ Rainbow Energy provides Colorless Energy. While attached to a Pokémon that has δ on its card, δ Rainbow Energy provides every type of Energy but provides only 1 Energy at a time. (Has no effect other than providing Energy.)']","{'id': 'ex13', 'name': 'Holon Phantoms', 'series': 'EX', 'printedTotal': 110, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'HP', 'releaseDate': '2006/05/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex13/symbol.png', 'logo': 'https://images.pokemontcg.io/ex13/logo.png'}}",98,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex13/98.png', 'large': 'https://images.pokemontcg.io/ex13/98_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex13-98', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.39, 'mid': 0.89, 'high': 3.61, 'market': 0.88, 'directLow': None}, 'reverseHolofoil': {'low': 8.12, 'mid': 12.96, 'high': 18.99, 'market': 14.98, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex13-98', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.09, 'lowPrice': 0.1, 'trendPrice': 0.9, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 18.0, 'reverseHoloLow': 0.5, 'reverseHoloTrend': 7.37, 'lowPriceExPlus': 0.2, 'avg1': 0.5, 'avg7': 1.09, 'avg30': 0.77, 'reverseHoloAvg1': 18.0, 'reverseHoloAvg7': 7.05, 'reverseHoloAvg30': 5.37}}",,
ex14-88,Double Rainbow Energy,Energy,['Special'],"[""Double Rainbow Energy can be attached only to an Evolved Pokémon (excluding Pokémon-ex). While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time. (Has no effect other than providing Energy.) Damage done to your opponent's Pokémon by the Pokémon Double Rainbow Energy is attached to is reduced by 10 (before applying Weakness and Resistance). When the Pokémon Double Rainbow Energy is attached to is no longer an Evolved Pokémon, discard Double Rainbow Energy.""]","{'id': 'ex14', 'name': 'Crystal Guardians', 'series': 'EX', 'printedTotal': 100, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'CG', 'releaseDate': '2006/08/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex14/symbol.png', 'logo': 'https://images.pokemontcg.io/ex14/logo.png'}}",88,Takumi Akabane,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex14/88.png', 'large': 'https://images.pokemontcg.io/ex14/88_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex14-88', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 4.94, 'mid': 7.25, 'high': 19.99, 'market': 5.67, 'directLow': None}, 'reverseHolofoil': {'low': 6.49, 'mid': 8.17, 'high': 26.97, 'market': 10.26, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex14-88', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.47, 'lowPrice': 0.2, 'trendPrice': 2.13, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 7.0, 'reverseHoloLow': 1.0, 'reverseHoloTrend': 6.22, 'lowPriceExPlus': 0.5, 'avg1': 4.0, 'avg7': 2.19, 'avg30': 2.38, 'reverseHoloAvg1': 7.0, 'reverseHoloAvg7': 6.49, 'reverseHoloAvg30': 5.43}}",,
ex15-89,Scramble Energy,Energy,['Special'],"[""Scramble Energy can be attached only to an Evolved Pokémon (excluding Pokémon-ex). Scramble Energy provides Colorless Energy. While in play, if you have more Prize cards left than your opponent, Scramble Energy provides every type of Energy but provides only 3 in any combination at a time. If the Pokémon Scramble Energy is attached to isn't an Evolved Pokémon (or evolves into Pokémon-ex), discard Scramble Energy.""]","{'id': 'ex15', 'name': 'Dragon Frontiers', 'series': 'EX', 'printedTotal': 101, 'total': 101, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DF', 'releaseDate': '2006/11/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex15/symbol.png', 'logo': 'https://images.pokemontcg.io/ex15/logo.png'}}",89,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex15/89.png', 'large': 'https://images.pokemontcg.io/ex15/89_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex15-89', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 1.28, 'mid': 2.66, 'high': 5.0, 'market': 2.41, 'directLow': None}, 'reverseHolofoil': {'low': 4.95, 'mid': 6.99, 'high': 15.0, 'market': 5.53, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex15-89', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.7, 'lowPrice': 0.02, 'trendPrice': 2.59, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.5, 'reverseHoloTrend': 7.17, 'lowPriceExPlus': 0.99, 'avg1': 3.0, 'avg7': 2.71, 'avg30': 2.04, 'reverseHoloAvg1': 2.95, 'reverseHoloAvg7': 5.61, 'reverseHoloAvg30': 5.26}}",,
ex4-86,Aqua Energy,Energy,['Special'],"[""Aqua Energy can be attached only to a Pokémon with Team Aqua in its name. Aqua Energy provides Water and Darkness Energy but provides 2 Energy at a time. (Doesn't count as a basic Energy card when not in play and has no other effect than providing Energy.) At the end of your turn, discard Aqua Energy.""]","{'id': 'ex4', 'name': 'Team Magma vs Team Aqua', 'series': 'EX', 'printedTotal': 95, 'total': 97, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'MA', 'releaseDate': '2004/03/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex4/symbol.png', 'logo': 'https://images.pokemontcg.io/ex4/logo.png'}}",86,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex4/86.png', 'large': 'https://images.pokemontcg.io/ex4/86_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex4-86', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.94, 'mid': 1.5, 'high': 3.75, 'market': 1.22, 'directLow': None}, 'reverseHolofoil': {'low': 2.69, 'mid': 3.96, 'high': 10.56, 'market': 3.97, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/ex4-86', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.95, 'lowPrice': 0.1, 'trendPrice': 1.07, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 9.87, 'reverseHoloLow': 2.5, 'reverseHoloTrend': 8.37, 'lowPriceExPlus': 0.99, 'avg1': 1.5, 'avg7': 0.95, 'avg30': 1.17, 'reverseHoloAvg1': 9.87, 'reverseHoloAvg7': 8.71, 'reverseHoloAvg30': 5.57}}",,
